NCBIgeneSymbol,HGNCgeneId,HGNCgeneSymbol,featureType,build37RefSeq,build37Start,build37End,build38RefSeq,build38Start,build38End,name,geneSynonym,chromosome,NCBIgeneId,Oncogene,TSG
PLS1,HGNC:9090,PLS1,GENE,NC_000003.11,142315234,142432506,NC_000003.12,142596392,142713664,plastin 1,DFNA76,chr3,GeneID:5357,,
PLS3,HGNC:9091,PLS3,GENE,NC_000023.10,114795500,114885181,NC_000023.11,115561173,115650861,plastin 3,"BMND18,T-plastin",chrX,GeneID:5358,,
PLSCR1,HGNC:9092,PLSCR1,GENE,NC_000003.11,146232966,146262394,NC_000003.12,146515177,146544805,phospholipid scramblase 1,MMTRA1B,chr3,GeneID:5359,,
PLSCR2,HGNC:16494,PLSCR2,GENE,NC_000003.11,146151074,146213778,NC_000003.12,146391362,146497163,phospholipid scramblase 2,,chr3,GeneID:57047,,
PLSCR3,HGNC:16495,PLSCR3,GENE,NC_000017.10,7293045,7297844,NC_000017.11,7389726,7394525,phospholipid scramblase 3,,chr17,GeneID:57048,,
PLSCR4,HGNC:16497,PLSCR4,GENE,NC_000003.11,145910121,145968892,NC_000003.12,146192334,146251125,phospholipid scramblase 4,TRA1,chr3,GeneID:57088,,
PLSCR5,HGNC:19952,PLSCR5,GENE,NC_000003.11,146294341,146323133,NC_000003.12,146576554,146605427,phospholipid scramblase family member 5,,chr3,GeneID:389158,,
PLTP,HGNC:9093,PLTP,GENE,NC_000020.10,44527258,44540794,NC_000020.11,45898619,45912155,phospholipid transfer protein,"BPIFE,HDLCQ9",chr20,GeneID:5360,,
PLVAP,HGNC:13635,PLVAP,GENE,NC_000019.9,17462263,17488151,NC_000019.10,17351454,17377342,plasmalemma vesicle associated protein,"DIAR10,FELS,gp68,PV-1,PV1",chr19,GeneID:83483,,
PLXDC1,HGNC:20945,PLXDC1,GENE,NC_000017.10,37219565,37307890,NC_000017.11,39063312,39151637,plexin domain containing 1,"TEM3,TEM7",chr17,GeneID:57125,,
PLXDC2,HGNC:21013,PLXDC2,GENE,NC_000010.10,20105360,20578785,NC_000010.11,19816214,20289856,plexin domain containing 2,TEM7R,chr10,GeneID:84898,,
PLXNA1,HGNC:9099,PLXNA1,GENE,NC_000003.11,126701957,126756232,NC_000003.12,126983114,127037389,plexin A1,"NOV,NOVP,PLEXIN-A1,PLXN1",chr3,GeneID:5361,,
PLXNA2,HGNC:9100,PLXNA2,GENE,NC_000001.10,208195586,208417729,NC_000001.11,208022241,208244384,plexin A2,"OCT,PLXN2",chr1,GeneID:5362,,
PLXNA3,HGNC:9101,PLXNA3,GENE,NC_000023.10,153686620,153706118,NC_000023.11,154458280,154477779,plexin A3,"6.3,HSSEXGENE,PLXN3,PLXN4,XAP-6",chrX,GeneID:55558,,
PLXNA4,HGNC:9102,PLXNA4,GENE,NC_000007.13,131808098,132333447,NC_000007.14,132123339,132648688,plexin A4,"FAYV2820,PLEXA4,PLXNA4A,PLXNA4B,PRO34003",chr7,GeneID:91584,,
PLXNB1,HGNC:9103,PLXNB1,GENE,NC_000003.11,48445260,48471495,NC_000003.12,48403853,48430324,plexin B1,"PLEXIN-B1,PLXN5,SEP",chr3,GeneID:5364,YES,
PLXNB2,HGNC:9104,PLXNB2,GENE,NC_000022.10,50713407,50746075,NC_000022.11,50274978,50307646,plexin B2,"dJ402G11.3,MM1,Nbla00445,PLEXB2",chr22,GeneID:23654,,
PLXNB3,HGNC:9105,PLXNB3,GENE,NC_000023.10,153029703,153044796,NC_000023.11,153764248,153779341,plexin B3,"PLEXB3,PLEXR,PLXN6",chrX,GeneID:5365,,
PLXNC1,HGNC:9106,PLXNC1,GENE,NC_000012.11,94542352,94701451,NC_000012.12,94148576,94307675,plexin C1,"CD232,PLXN-C1,VESPR",chr12,GeneID:10154,,YES
PLXND1,HGNC:9107,PLXND1,GENE,NC_000003.11,129274056,129325519,NC_000003.12,129555213,129606676,plexin D1,PLEXD1,chr3,GeneID:23129,,
PM20D1,HGNC:26518,PM20D1,GENE,NC_000001.10,205797152,205819260,NC_000001.11,205828024,205850132,peptidase M20 domain containing 1,Cps1,chr1,GeneID:148811,,
PM20D2,HGNC:21408,PM20D2,GENE,NC_000006.11,89855773,89875284,NC_000006.12,89094817,89165565,peptidase M20 domain containing 2,ACY1L2,chr6,GeneID:135293,,
PMAIP1,HGNC:9108,PMAIP1,GENE,NC_000018.9,57567227,57571537,NC_000018.10,59899995,59904305,phorbol-12-myristate-13-acetate-induced protein 1,"APR,NOXA",chr18,GeneID:5366,,
PMCH,HGNC:9109,PMCH,GENE,NC_000012.11,102590236,102591611,NC_000012.12,102196458,102199540,pro-melanin concentrating hormone,"MCH,ppMCH",chr12,GeneID:5367,,
PMEL,HGNC:10880,PMEL,GENE,NC_000012.11,56347888,56360493,NC_000012.12,55954104,55966709,premelanosome protein,"D12S53E,gp100,ME20,ME20-M,ME20M,P1,P100,PMEL17,SI,SIL,SILV",chr12,GeneID:6490,,
PMEPA1,HGNC:14107,PMEPA1,GENE,NC_000020.10,56223451,56286528,NC_000020.11,57648395,57711472,prostate transmembrane protein%2C androgen induced 1,"STAG1,TMEPAI",chr20,GeneID:56937,,
PMF1,HGNC:9112,PMF1,GENE,NC_000001.10,156182778,156209868,NC_000001.11,156212987,156240077,polyamine modulated factor 1,,chr1,GeneID:11243,,
PMF1-BGLAP,HGNC:42953,PMF1-BGLAP,GENE,NC_000001.10,156182778,156213123,NC_000001.11,156212987,156243332,PMF1-BGLAP readthrough,"PMF-1,PMF1",chr1,GeneID:100527963,,
PMFBP1,HGNC:17728,PMFBP1,GENE,NC_000016.9,72152995,72206369,NC_000016.10,72116696,72173908,polyamine modulated factor 1 binding protein 1,"SPGF31,STAP",chr16,GeneID:83449,,
PML,HGNC:9113,PML,GENE,NC_000015.9,74287056,74340168,NC_000015.10,73994715,74047827,PML nuclear body scaffold,"MYL,PP8675,RNF71,TRIM19",chr15,GeneID:5371,YES,YES
PMM1,HGNC:9114,PMM1,GENE,NC_000022.10,41972903,41985844,NC_000022.11,41576894,41589866,phosphomannomutase 1,"PMM 1,PMMH-22,Sec53",chr22,GeneID:5372,,
PMM2,HGNC:9115,PMM2,GENE,NC_000016.9,8891695,8943182,NC_000016.10,8797812,8849326,phosphomannomutase 2,"CDG1,CDG1a,CDGS,PMI,PMI1,PMM 2",chr16,GeneID:5373,,
PMP2,HGNC:9117,PMP2,GENE,NC_000008.10,82352560,82359674,NC_000008.11,81440325,81447439,peripheral myelin protein 2,"CMT1G,FABP8,M-FABP,MP2,P2",chr8,GeneID:5375,,
PMP22,HGNC:9118,PMP22,GENE,NC_000017.10,15133095,15168643,NC_000017.11,15229778,15265326,peripheral myelin protein 22,"CIDP,CMT1A,CMT1E,DSS,GAS-3,GAS3,HMSNIA,HNPP,Sp110",chr17,GeneID:5376,,
PMPCA,HGNC:18667,PMPCA,GENE,NC_000009.11,139305109,139318213,NC_000009.12,136410657,136423761,peptidase%2C mitochondrial processing subunit alpha,"Alpha-MPP,CLA1,CPD3,INPP5E,MAS2,P-55,SCAR2",chr9,GeneID:23203,,
PMPCB,HGNC:9119,PMPCB,GENE,NC_000007.13,102937881,102955133,NC_000007.14,103297434,103329902,peptidase%2C mitochondrial processing subunit beta,"Beta-MPP,MAS1,MPP11,MPPB,MPPP52,P-52",chr7,GeneID:9512,,
PMS1,HGNC:9121,PMS1,GENE,NC_000002.11,190649175,190742355,NC_000002.12,189784141,189877629,PMS1 homolog 1%2C mismatch repair system component,"HNPCC3,hPMS1,MLH2,PMSL1",chr2,GeneID:5378,,YES
PMS2,HGNC:9122,PMS2,GENE,NC_000007.13,6010555,6048737,NC_000007.14,5970924,6009106,PMS1 homolog 2%2C mismatch repair system component,"HNPCC4,MLH4,MMRCS4,PMS2CL,PMSL2",chr7,GeneID:5395,,YES
PMVK,HGNC:9141,PMVK,GENE,NC_000001.10,154897215,154915134,NC_000001.11,154924739,154942658,phosphomevalonate kinase,"HUMPMKI,PMK,PMKA,PMKASE,POROK1",chr1,GeneID:10654,,
PNCK,HGNC:13415,PNCK,GENE,NC_000023.10,152935187,152953226,NC_000023.11,153669722,153687771,pregnancy up-regulated nonubiquitous CaM kinase,"BSTK3,CaMK1b",chrX,GeneID:139728,,
PNISR,HGNC:21222,PNISR,GENE,NC_000006.11,99845925,99873184,NC_000006.12,99398049,99426306,PNN interacting serine and arginine rich protein,"bA98I9.2,C6orf111,HSPC306,SFRS18,SRrp130",chr6,GeneID:25957,,
PNKD,HGNC:9153,PNKD,GENE,NC_000002.11,219135241,219211516,NC_000002.12,218270484,218346793,PNKD metallo-beta-lactamase domain containing,"BRP17,DYT8,FKSG19,FPD1,KIPP1184,MR-1,MR-1S,MR1,PDC,PKND1,PNKD1,R1,",chr2,GeneID:25953,,
PNKP,HGNC:9154,PNKP,GENE,NC_000019.9,50364460,50370833,NC_000019.10,49861203,49867576,polynucleotide kinase 3'-phosphatase,"AOA4,CMT2B2,EIEE10,MCSZ,PNK",chr19,GeneID:11284,,
PNLDC1,HGNC:21185,PNLDC1,GENE,NC_000006.11,160221307,160241736,NC_000006.12,159799421,159820704,PARN like%2C ribonuclease domain containing 1,HsPNLDC1,chr6,GeneID:154197,,
PNLIP,HGNC:9155,PNLIP,GENE,NC_000010.10,118305442,118327367,NC_000010.11,116545930,116567855,pancreatic lipase,"PL,PNLIPD,PTL",chr10,GeneID:5406,,
PNLIPRP1,HGNC:9156,PNLIPRP1,GENE,NC_000010.10,118350470,118368687,NC_000010.11,116590958,116609175,pancreatic lipase related protein 1,PLRP1,chr10,GeneID:5407,,
PNLIPRP3,HGNC:23492,PNLIPRP3,GENE,NC_000010.10,118187358,118237469,NC_000010.11,116427846,116477961,pancreatic lipase related protein 3,,chr10,GeneID:119548,,
PNMA1,HGNC:9158,PNMA1,GENE,NC_000014.8,74178485,74181087,NC_000014.9,73711782,73714384,PNMA family member 1,MA1,chr14,GeneID:9240,,
PNMA2,HGNC:9159,PNMA2,GENE,NC_000008.10,26362216,26371388,NC_000008.11,26504694,26513872,PNMA family member 2,"MA2,MM2,RGAG2",chr8,GeneID:10687,,
PNMA3,HGNC:18742,PNMA3,GENE,NC_000023.10,152224826,152228822,NC_000023.11,153056469,153060462,PNMA family member 3,"MA3,MA5",chrX,GeneID:29944,,
PNMA5,HGNC:18743,PNMA5,GENE,NC_000023.10,152157367,152162660,NC_000023.11,152988823,152994458,PNMA family member 5,,chrX,GeneID:114824,,
PNMA6A,HGNC:28248,PNMA6A,GENE,NC_000023.10,152338298,152340864,NC_000023.11,153072453,153075019,PNMA family member 6A,"MA6,PNMA6,PNMA6C",chrX,GeneID:84968,,
PNMA6E,HGNC:50767,PNMA6E,GENE,NC_000023.10,152661096,152666808,NC_000023.11,153395638,153414404,PNMA family member 6E,,chrX,GeneID:649238,,
PNMA6F,HGNC:53119,PNMA6F,GENE,NC_000023.10,152583137,152587225,NC_000023.11,153317679,153321767,PNMA family member 6F,PNMA6BL,chrX,GeneID:105373377,,
PNMA8A,HGNC:25578,PNMA8A,GENE,NC_000019.9,46969759,46974820,NC_000019.10,46466501,46471577,PNMA family member 8A,PNMAL1,chr19,GeneID:55228,,
PNMA8B,HGNC:29206,PNMA8B,GENE,NC_000019.9,46994447,46999124,NC_000019.10,46491190,46495867,PNMA family member 8B,PNMAL2,chr19,GeneID:57469,,
PNMA8C,HGNC:53427,PNMA8C,GENE,NC_000019.9,46927953,46932193,NC_000019.10,46424696,46428936,PNMA family member 8C,,chr19,GeneID:110806277,,
PNMT,HGNC:9160,PNMT,GENE,NC_000017.10,37824271,37826728,NC_000017.11,39668018,39670475,phenylethanolamine N-methyltransferase,"PENT,PNMTase",chr17,GeneID:5409,,
PNN,HGNC:9162,PNN,GENE,NC_000014.8,39644457,39652424,NC_000014.9,39175253,39183220,pinin%2C desmosome associated protein,"DRS,DRSP,memA,SDK3",chr14,GeneID:5411,,YES
PNO1,HGNC:32790,PNO1,GENE,NC_000002.11,68385019,68403370,NC_000002.12,68157887,68176238,partner of NOB1 homolog,"KHRBP1,RRP20",chr2,GeneID:56902,,
PNOC,HGNC:9163,PNOC,GENE,NC_000008.10,28174784,28200868,NC_000008.11,28316978,28343355,prepronociceptin,"N/OFQ,NOP,OFQ,ppN/OFQ,PPNOC",chr8,GeneID:5368,,
PNP,HGNC:7892,PNP,GENE,NC_000014.8,20937564,20945248,NC_000014.9,20469405,20477089,purine nucleoside phosphorylase,"NP,PRO1837,PUNP",chr14,GeneID:4860,,
PNPLA1,HGNC:21246,PNPLA1,GENE,NC_000006.11,36210944,36281732,NC_000006.12,36242522,36313955,patatin like phospholipase domain containing 1,"ARCI10,dJ50J22.1",chr6,GeneID:285848,,
PNPLA2,HGNC:30802,PNPLA2,GENE,NC_000011.9,818913,825573,NC_000011.10,818889,825573,patatin like phospholipase domain containing 2,"1110001C14Rik,ATGL,FP17548,iPLA2zeta,PEDF-R,TTS-2.2,TTS2",chr11,GeneID:57104,,
PNPLA3,HGNC:18590,PNPLA3,GENE,NC_000022.10,44319684,44343462,NC_000022.11,43923804,43947582,patatin like phospholipase domain containing 3,"ADPN,C22orf20,iPLA(2)epsilon",chr22,GeneID:80339,,
PNPLA4,HGNC:24887,PNPLA4,GENE,NC_000023.10,7866287,7895765,NC_000023.11,7898246,7928587,patatin like phospholipase domain containing 4,"DXS1283E,GS2,iPLA2eta",chrX,GeneID:8228,,
PNPLA5,HGNC:24888,PNPLA5,GENE,NC_000022.10,44275557,44287893,NC_000022.11,43879677,43892013,patatin like phospholipase domain containing 5,"dJ388M5,dJ388M5.4,GS2L",chr22,GeneID:150379,,
PNPLA6,HGNC:16268,PNPLA6,GENE,NC_000019.9,7599049,7626653,NC_000019.10,7534163,7561767,patatin like phospholipase domain containing 6,"BNHS,iPLA2delta,LNMS,NTE,NTEMND,OMCS,SPG39,sws",chr19,GeneID:10908,,
PNPLA7,HGNC:24768,PNPLA7,GENE,NC_000009.11,140354403,140444854,NC_000009.12,137459398,137550666,patatin like phospholipase domain containing 7,"C9orf111,NTE-R1,NTEL1",chr9,GeneID:375775,,
PNPLA8,HGNC:28900,PNPLA8,GENE,NC_000007.13,108110860,108168622,NC_000007.14,108470416,108528178,patatin like phospholipase domain containing 8,"IPLA2-2,IPLA2G,iPLA2gamma,MMLA,PNPLA-gamma",chr7,GeneID:50640,,
PNPO,HGNC:30260,PNPO,GENE,NC_000017.10,46018936,46026674,NC_000017.11,47941523,47949308,pyridoxamine 5'-phosphate oxidase,"HEL-S-302,PDXPO",chr17,GeneID:55163,,
PNPT1,HGNC:23166,PNPT1,GENE,NC_000002.11,55861195,55920979,NC_000002.12,55634060,55693853,polyribonucleotide nucleotidyltransferase 1,"COXPD13,DFNB70,old-35,OLD35,PNPASE",chr2,GeneID:87178,,
PNRC1,HGNC:17278,PNRC1,GENE,NC_000006.11,89790469,89794879,NC_000006.12,89080748,89085160,proline rich nuclear receptor coactivator 1,"B4-2,PNAS-145,PROL2,PRR2",chr6,GeneID:10957,,
PNRC2,HGNC:23158,PNRC2,GENE,NC_000001.10,24286317,24289952,NC_000001.11,23959163,23963462,proline rich nuclear receptor coactivator 2,,chr1,GeneID:55629,,
POC1A,HGNC:24488,POC1A,GENE,NC_000003.11,52109241,52188439,NC_000003.12,52075225,52154423,POC1 centriolar protein A,"PIX2,SOFT,WDR51A",chr3,GeneID:25886,,
POC1B,HGNC:30836,POC1B,GENE,NC_000012.11,89813494,89919824,NC_000012.12,89419717,89526047,POC1 centriolar protein B,"CORD20,PIX1,TUWD12,WDR51B",chr12,GeneID:282809,,
POC1B-GALNT4,HGNC:42957,POC1B-GALNT4,GENE,NC_000012.11,89913188,89920039,NC_000012.12,89519411,89526262,POC1B-GALNT4 readthrough,"GalNAc-T4,GALNT4",chr12,GeneID:100528030,,
POC5,HGNC:26658,POC5,GENE,NC_000005.9,74969948,75013262,NC_000005.10,75674123,75717488,POC5 centriolar protein,C5orf37,chr5,GeneID:134359,,
PODN,HGNC:23174,PODN,GENE,NC_000001.10,53527884,53551166,NC_000001.11,53062197,53085502,podocan,"PCAN,SLRR5A",chr1,GeneID:127435,,
PODNL1,HGNC:26275,PODNL1,GENE,NC_000019.9,14041999,14064195,NC_000019.10,13931186,13953383,podocan like 1,SLRR5B,chr19,GeneID:79883,,
PODXL,HGNC:9171,PODXL,GENE,NC_000007.13,131185029,131241387,NC_000007.14,131500270,131556628,podocalyxin like,"gp135,Gp200,PC,PCLP,PCLP-1,PDX,PODXL1",chr7,GeneID:5420,,
PODXL2,HGNC:17936,PODXL2,GENE,NC_000003.11,127348027,127391645,NC_000003.12,127629184,127672802,podocalyxin like 2,"EG,PODLX2",chr3,GeneID:50512,,
POF1B,HGNC:13711,POF1B,GENE,NC_000023.10,84532401,84634670,NC_000023.11,85277395,85379709,POF1B actin binding protein,"POF,POF2B",chrX,GeneID:79983,,
POFUT1,HGNC:14988,POFUT1,GENE,NC_000020.10,30795682,30826461,NC_000020.11,32207879,32238658,protein O-fucosyltransferase 1,"DDD2,FUT12,O-Fuc-T,O-FucT-1,O-FUT,OFUCT1",chr20,GeneID:23509,,
POFUT2,HGNC:14683,POFUT2,GENE,NC_000021.8,46683849,46707810,NC_000021.9,45263927,45287914,protein O-fucosyltransferase 2,"C21orf80,FUT13",chr21,GeneID:23275,,
POGK,HGNC:18800,POGK,GENE,NC_000001.10,166808711,166825596,NC_000001.11,166839446,166856359,pogo transposable element derived with KRAB domain,"BASS2,KRBOX2,LST003",chr1,GeneID:57645,,
POGLUT1,HGNC:22954,POGLUT1,GENE,NC_000003.11,119187809,119213555,NC_000003.12,119468954,119494708,protein O-glucosyltransferase 1,"C3orf9,CLP46,hCLP46,KDELCL1,KTELC1,LGMD2Z,LGMDR21,MDS010,MDSRP,Rumi",chr3,GeneID:56983,,
POGLUT2,HGNC:19350,POGLUT2,GENE,NC_000013.10,103436630,103451326,NC_000013.11,102784280,102799009,protein O-glucosyltransferase 2,"EP58,ERp58,KDEL1,KDELC1",chr13,GeneID:79070,,
POGLUT3,HGNC:28496,POGLUT3,GENE,NC_000011.9,108342842,108369111,NC_000011.10,108472115,108498384,protein O-glucosyltransferase 3,KDELC2,chr11,GeneID:143888,,
POGZ,HGNC:18801,POGZ,GENE,NC_000001.10,151375199,151431970,NC_000001.11,151402723,151459494,pogo transposable element derived with ZNF domain,"MRD37,WHSUS,ZNF280E,ZNF635,ZNF635m",chr1,GeneID:23126,,
POLA1,HGNC:9173,POLA1,GENE,NC_000023.10,24712034,25015103,NC_000023.11,24693876,24996986,DNA polymerase alpha 1%2C catalytic subunit,"NSX,p180,POLA,VEODS",chrX,GeneID:5422,,
POLA2,HGNC:30073,POLA2,GENE,NC_000011.9,65029432,65066156,NC_000011.10,65261916,65306269,DNA polymerase alpha 2%2C accessory subunit,,chr11,GeneID:23649,,
POLB,HGNC:9174,POLB,GENE,NC_000008.10,42196011,42229326,NC_000008.11,42338451,42371810,DNA polymerase beta,,chr8,GeneID:5423,,
POLD1,HGNC:9175,POLD1,GENE,NC_000019.9,50887579,50921275,NC_000019.10,50384290,50418018,DNA polymerase delta 1%2C catalytic subunit,"CDC2,CRCS10,MDPL,POLD",chr19,GeneID:5424,,
POLD2,HGNC:9176,POLD2,GENE,NC_000007.13,44154278,44163147,NC_000007.14,44114679,44123668,DNA polymerase delta 2%2C accessory subunit,,chr7,GeneID:5425,,
POLD3,HGNC:20932,POLD3,GENE,NC_000011.9,74303626,74354121,NC_000011.10,74592581,74669341,DNA polymerase delta 3%2C accessory subunit,"P66,P68,PPP1R128",chr11,GeneID:10714,,
POLD4,HGNC:14106,POLD4,GENE,NC_000011.9,67118235,67121067,NC_000011.10,67350764,67353596,DNA polymerase delta 4%2C accessory subunit,"p12,POLDS",chr11,GeneID:57804,,
POLDIP2,HGNC:23781,POLDIP2,GENE,NC_000017.10,26673658,26684550,NC_000017.11,28346632,28357527,DNA polymerase delta interacting protein 2,"p38,PDIP38,POLD4",chr17,GeneID:26073,,
POLDIP3,HGNC:23782,POLDIP3,GENE,NC_000022.10,42979726,43010889,NC_000022.11,42583720,42614918,DNA polymerase delta interacting protein 3,"PDIP3,PDIP46,SKAR",chr22,GeneID:84271,,
POLE,HGNC:9177,POLE,GENE,NC_000012.11,133200347,133263928,NC_000012.12,132623757,132687519,DNA polymerase epsilon%2C catalytic subunit,"CRCS12,FILS,IMAGEI,POLE1",chr12,GeneID:5426,,
POLE2,HGNC:9178,POLE2,GENE,NC_000014.8,50110272,50154932,NC_000014.9,49643554,49688417,DNA polymerase epsilon 2%2C accessory subunit,DPE2,chr14,GeneID:5427,,
POLE3,HGNC:13546,POLE3,GENE,NC_000009.11,116169514,116173029,NC_000009.12,113407234,113410749,DNA polymerase epsilon 3%2C accessory subunit,"CHARAC17,CHRAC17,CHRAC2,p17,YBL1",chr9,GeneID:54107,,
POLE4,HGNC:18755,POLE4,GENE,NC_000002.11,75185769,75197255,NC_000002.12,74958642,74970128,DNA polymerase epsilon 4%2C accessory subunit,"p12,YHHQ1",chr2,GeneID:56655,,
POLG,HGNC:9179,POLG,GENE,NC_000015.9,89859550,89878055,NC_000015.10,89316319,89334824,DNA polymerase gamma%2C catalytic subunit,"MDP1,MIRAS,MTDPS4A,MTDPS4B,PEO,POLG1,POLGA,SANDO,SCAE",chr15,GeneID:5428,,
POLG2,HGNC:9180,POLG2,GENE,NC_000017.10,62473901,62493172,NC_000017.11,64477784,64497054,DNA polymerase gamma 2%2C accessory subunit,"HP55,MTDPS16,MTPOLB,PEOA4,POLB,POLG-BETA,POLGB",chr17,GeneID:11232,,
POLH,HGNC:9181,POLH,GENE,NC_000006.11,43543921,43588260,NC_000006.12,43576146,43620523,DNA polymerase eta,"RAD30,RAD30A,XP-V,XPV",chr6,GeneID:5429,,
POLI,HGNC:9182,POLI,GENE,NC_000018.9,51795848,51847636,NC_000018.10,54269478,54321266,DNA polymerase iota,"eta2,RAD30B,RAD3OB",chr18,GeneID:11201,,
POLK,HGNC:9183,POLK,GENE,NC_000005.9,74807574,74901645,NC_000005.10,75511749,75605820,DNA polymerase kappa,"DINB1,DINP,POLQ",chr5,GeneID:51426,,
POLL,HGNC:9184,POLL,GENE,NC_000010.10,103338638,103348027,NC_000010.11,101578881,101588319,DNA polymerase lambda,"BETAN,POLKAPPA",chr10,GeneID:27343,,
POLM,HGNC:9185,POLM,GENE,NC_000007.13,44111660,44122129,NC_000007.14,44072061,44082530,DNA polymerase mu,"Pol Mu,Tdt-N",chr7,GeneID:27434,,
POLN,HGNC:18870,POLN,GENE,NC_000004.11,2073644,2243848,NC_000004.12,2071917,2242121,DNA polymerase nu,POL4P,chr4,GeneID:353497,,
POLQ,HGNC:9186,POLQ,GENE,NC_000003.11,121150277,121264835,NC_000003.12,121431430,121545988,DNA polymerase theta,PRO0327,chr3,GeneID:10721,,
POLR1A,HGNC:17264,POLR1A,GENE,NC_000002.11,86247338,86333009,NC_000002.12,86020215,86105886,RNA polymerase I subunit A,"A190,AFDCIN,RPA1,RPA190,RPA194,RPO1-4,RPO14",chr2,GeneID:25885,,
POLR1B,HGNC:20454,POLR1B,GENE,NC_000002.11,113299612,113337395,NC_000002.12,112542035,112579818,RNA polymerase I subunit B,"A135,RPA135,RPA2,Rpo1-2,TCS4",chr2,GeneID:84172,,
POLR1C,HGNC:20194,POLR1C,GENE,NC_000006.11,43484826,43530144,NC_000006.12,43517088,44461400,RNA polymerase I and III subunit C,"AC40,HLD11,RPA39,RPA40,RPA5,RPAC1,RPC40,TCS3",chr6,GeneID:9533,,
POLR1D,HGNC:20422,POLR1D,GENE,NC_000013.10,28194879,28241548,NC_000013.11,27620742,27667415,RNA polymerase I and III subunit D,"AC19,POLR1C,RPA16,RPA9,RPAC2,RPC16,RPO1-3,TCS2",chr13,GeneID:51082,,
POLR1E,HGNC:17631,POLR1E,GENE,NC_000009.11,37485944,37503694,NC_000009.12,37485947,37503697,RNA polymerase I subunit E,"A49,PAF53,PRAF1,RPA49",chr9,GeneID:64425,,
POLR1F,HGNC:18027,POLR1F,GENE,NC_000007.13,19735083,19748660,NC_000007.14,19695460,19709037,RNA polymerase I subunit F,"A43,RPA43,TWISTNB",chr7,GeneID:221830,,
POLR1G,HGNC:24219,POLR1G,GENE,NC_000019.9,45909901,45913995,NC_000019.10,45406643,45410737,RNA polymerase I subunit G,"ASE-1,ASE1,CAST,CD3EAP,PAF49,RPA34",chr19,GeneID:10849,,
POLR1H,HGNC:13182,POLR1H,GENE,NC_000006.11,30029041,30032684,NC_000006.12,30061264,30064907,RNA polymerase I subunit H,"A12.2,HTEX-6,HTEX6,hZR14,Rpa12,tctex-6,TCTEX6,TEX6,ZNRD1,ZR14",chr6,GeneID:30834,,
POLR2A,HGNC:9187,POLR2A,GENE,NC_000017.10,7387684,7417933,NC_000017.11,7484365,7514616,RNA polymerase II subunit A,"hRPB220,hsRPB1,NEDHIB,POLR2,POLRA,RPB1,RPBh1,RpIILS,RPO2,RPOL2",chr17,GeneID:5430,,
POLR2B,HGNC:9188,POLR2B,GENE,NC_000004.11,57845061,57897324,NC_000004.12,56978895,57031158,RNA polymerase II subunit B,"hRPB140,POL2RB,RPB2",chr4,GeneID:5431,,
POLR2C,HGNC:9189,POLR2C,GENE,NC_000016.9,57496590,57505921,NC_000016.10,57462678,57472009,RNA polymerase II subunit C,"hRPB33,hsRPB3,RPB3,RPB31",chr16,GeneID:5432,,
POLR2D,HGNC:9191,POLR2D,GENE,NC_000002.11,128601126,128615729,NC_000002.12,127843552,127858155,RNA polymerase II subunit D,"HSRBP4,HSRPB4,RBP4,RPB16,RPB4",chr2,GeneID:5433,,
POLR2E,HGNC:9192,POLR2E,GENE,NC_000019.9,1086572,1095374,NC_000019.10,1086573,1095387,RNA polymerase II%2C I and III subunit E,"hRPB25,hsRPB5,RPABC1,RPB5,XAP4",chr19,GeneID:5434,,
POLR2F,HGNC:9193,POLR2F,GENE,NC_000022.10,38349669,38437922,NC_000022.11,37953662,38041915,RNA polymerase II%2C I and III subunit F,"HRBP14.4,POLRF,RPABC14.4,RPABC2,RPB14.4,RPB6,RPC15",chr22,GeneID:5435,,
POLR2G,HGNC:9194,POLR2G,GENE,NC_000011.9,62529051,62534182,NC_000011.10,62761579,62766710,RNA polymerase II subunit G,"hRPB19,hsRPB7,RPB19,RPB7",chr11,GeneID:5436,,
POLR2H,HGNC:9195,POLR2H,GENE,NC_000003.11,184079497,184086379,NC_000003.12,184361709,184368594,RNA polymerase II%2C I and III subunit H,"RPABC3,RPB17,RPB8",chr3,GeneID:5437,,
POLR2I,HGNC:9196,POLR2I,GENE,NC_000019.9,36604610,36605777,NC_000019.10,36113708,36114875,RNA polymerase II subunit I,"hRPB14.5,RPB9",chr19,GeneID:5438,,
POLR2J,HGNC:9197,POLR2J,GENE,NC_000007.13,102113574,102119369,NC_000007.14,102473127,102478934,RNA polymerase II subunit J,"hRPB14,POLR2J1,RPB11,RPB11A,RPB11m",chr7,GeneID:5439,,
POLR2J2,HGNC:23208,POLR2J2,GENE,NC_000007.13,102277194,102312182,NC_000007.14,102636747,102671735,RNA polymerase II subunit J2,"HRPB11B,POLR2J3,RPB11b1,RPB11b2",chr7,GeneID:246721,,
POLR2J3,HGNC:33853,POLR2J3,GENE,NC_000007.13,102178365,102213068,NC_000007.14,102537918,102572621,RNA polymerase II subunit J3,"POLR2J2,RPB11b1,RPB11b2",chr7,GeneID:548644,,
POLR2K,HGNC:9198,POLR2K,GENE,NC_000008.10,101162863,101166231,NC_000008.11,100150635,100154003,RNA polymerase II%2C I and III subunit K,"ABC10-alpha,hRPB7.0,hsRPB10a,RPABC4,RPB10alpha,RPB12,RPB7.0",chr8,GeneID:5440,,
